lead_code,status
LDSMFG_110186,DELIVERED
LDSMFG_144016,DELIVERED
LDSMFG_105785,DELIVERED
LDSMFG_113650,DELIVERED
LDSMFG_121954,DELIVERED
LDSMFG_136926,DELIVERED
LDSMFG_118727,DELIVERED
LDSMFG_119630,DELIVERED
LDSMFG_163748,DELIVERED
LDSMFG_193766,DELIVERED
LDSMFG_122678,DELIVERED
LDSMFG_175301,DELIVERED
LDSMFG_121797,DELIVERED
LDSMFG_101683,DELIVERED
LDSMFG_193345,DELIVERED
LDSMFG_126203,DELIVERED
LDSMFG_104715,DELIVERED
LDSMFG_194854,DELIVERED
LDSMFG_147665,DELIVERED
LDSMFG_149659,DELIVERED
LDSMFG_112943,DELIVERED
LDSMFG_112727,DELIVERED
LDSMFG_112352,DELIVERED
LDSMFG_177998,DELIVERED
LDSMFG_144912,DELIVERED
LDSMFG_116297,DELIVERED
LDSMFG_136289,DELIVERED
LDSMFG_176022,DELIVERED
LDSMFG_171299,DELIVERED
LDSMFG_152087,DELIVERED
LDSMFG_169857,DELIVERED
LDSMFG_189100,DELIVERED
LDSMFG_147450,DELIVERED
LDSMFG_145290,DELIVERED
LDSMFG_168509,DELIVERED
LDSMFG_144043,DELIVERED
LDSMFG_148170,DELIVERED
LDSMFG_103027,DELIVERED
LDSMFG_181089,DELIVERED
LDSMFG_186752,DELIVERED
LDSMFG_176685,DELIVERED
LDSMFG_121524,DELIVERED
LDSMFG_130530,DELIVERED
LDSMFG_128513,DELIVERED
LDSMFG_123603,DELIVERED
LDSMFG_141689,DELIVERED
LDSMFG_169268,DELIVERED
LDSMFG_171473,DELIVERED
LDSMFG_149985,DELIVERED
LDSMFG_168531,DELIVERED
LDSMFG_101455,DELIVERED
LDSMFG_110181,DELIVERED
LDSMFG_133908,DELIVERED
LDSMFG_145718,DELIVERED
LDSMFG_138075,DELIVERED
LDSMFG_186363,DELIVERED
LDSMFG_131997,DELIVERED
LDSMFG_101245,DELIVERED
LDSMFG_141177,DELIVERED
LDSMFG_141908,DELIVERED
LDSMFG_124391,DELIVERED
LDSMFG_198212,DELIVERED
LDSMFG_105549,DELIVERED
LDSMFG_138058,DELIVERED
LDSMFG_136856,DELIVERED
LDSMFG_183380,DELIVERED
LDSMFG_134242,DELIVERED
LDSMFG_114267,DELIVERED
LDSMFG_124035,DELIVERED
LDSMFG_113693,DELIVERED
LDSMFG_103562,DELIVERED
LDSMFG_116683,DELIVERED
LDSMFG_137323,DELIVERED
LDSMFG_117368,DELIVERED
LDSMFG_180551,DELIVERED
LDSMFG_121589,DELIVERED
LDSMFG_101754,DELIVERED
LDSMFG_154902,DELIVERED
LDSMFG_193949,DELIVERED
LDSMFG_193407,DELIVERED
LDSMFG_173707,DELIVERED
LDSMFG_170840,DELIVERED
LDSMFG_188540,DELIVERED
LDSMFG_136204,DELIVERED
LDSMFG_108838,DELIVERED
LDSMFG_150583,DELIVERED
LDSMFG_183091,DELIVERED
LDSMFG_112103,DELIVERED
LDSMFG_115329,DELIVERED
LDSMFG_127013,DELIVERED
LDSMFG_176536,DELIVERED
LDSMFG_144636,DELIVERED
LDSMFG_185677,DELIVERED
LDSMFG_144748,DELIVERED
LDSMFG_187510,DELIVERED
LDSMFG_158207,DELIVERED
LDSMFG_120105,DELIVERED
LDSMFG_108958,DELIVERED
LDSMFG_167631,DELIVERED
LDSMFG_154372,DELIVERED
LDSMFG_112019,DELIVERED
LDSMFG_156250,DELIVERED
LDSMFG_102972,DELIVERED
LDSMFG_111162,DELIVERED
LDSMFG_104158,DELIVERED
LDSMFG_110047,DELIVERED
LDSMFG_160760,DELIVERED
LDSMFG_195304,DELIVERED
LDSMFG_166387,DELIVERED
LDSMFG_100969,DELIVERED
LDSMFG_150269,DELIVERED
LDSMFG_131197,DELIVERED
LDSMFG_161492,DELIVERED
LDSMFG_100765,DELIVERED
LDSMFG_125630,DELIVERED
LDSMFG_158144,DELIVERED
LDSMFG_115132,DELIVERED
LDSMFG_168379,DELIVERED
LDSMFG_142579,DELIVERED
LDSMFG_104616,DELIVERED
LDSMFG_144100,DELIVERED
LDSMFG_115072,DELIVERED
LDSMFG_106075,DELIVERED
LDSMFG_182462,DELIVERED
LDSMFG_168776,DELIVERED
LDSMFG_124808,DELIVERED
LDSMFG_136320,DELIVERED
LDSMFG_137088,DELIVERED
LDSMFG_158271,DELIVERED
LDSMFG_191969,DELIVERED
LDSMFG_107001,DELIVERED
LDSMFG_128455,DELIVERED
LDSMFG_178811,DELIVERED
LDSMFG_159454,DELIVERED
LDSMFG_100164,DELIVERED
LDSMFG_131007,DELIVERED
LDSMFG_193019,DELIVERED
LDSMFG_163521,DELIVERED
LDSMFG_187853,DELIVERED
LDSMFG_117317,DELIVERED
LDSMFG_105174,DELIVERED
LDSMFG_127616,DELIVERED
LDSMFG_132212,DELIVERED
LDSMFG_144969,DELIVERED
LDSMFG_147198,DELIVERED
LDSMFG_128802,DELIVERED
LDSMFG_188475,DELIVERED
LDSMFG_199258,DELIVERED
LDSMFG_100974,DELIVERED
LDSMFG_138280,DELIVERED
LDSMFG_175642,DELIVERED
LDSMFG_110197,DELIVERED
LDSMFG_178190,DELIVERED
LDSMFG_118405,DELIVERED
LDSMFG_103278,DELIVERED
LDSMFG_173601,DELIVERED
LDSMFG_197093,DELIVERED
LDSMFG_165646,DELIVERED
LDSMFG_129429,DELIVERED
LDSMFG_186348,DELIVERED
LDSMFG_169014,DELIVERED
LDSMFG_107921,DELIVERED
LDSMFG_117677,DELIVERED
LDSMFG_117774,DELIVERED
LDSMFG_182693,DELIVERED
LDSMFG_168963,DELIVERED
LDSMFG_141100,DELIVERED
LDSMFG_105814,DELIVERED
LDSMFG_126768,DELIVERED
LDSMFG_172744,DELIVERED
LDSMFG_155550,DELIVERED
LDSMFG_139359,DELIVERED
LDSMFG_195314,DELIVERED
LDSMFG_188572,DELIVERED
LDSMFG_116780,DELIVERED
LDSMFG_191695,DELIVERED
LDSMFG_179777,DELIVERED
LDSMFG_138024,DELIVERED
LDSMFG_170507,DELIVERED
LDSMFG_119493,DELIVERED
LDSMFG_158025,DELIVERED
LDSMFG_109091,DELIVERED
LDSMFG_149507,DELIVERED
LDSMFG_135648,DELIVERED
LDSMFG_180541,DELIVERED
