lead_code,call_type,disposition,duration,start_time,agent_id
LDSMFG_165406,HUMAN,NO_ANSWER,195,2025-01-11,AG_117
LDSMFG_193330,HUMAN,NO_ANSWER,208,2025-01-23,AG_146
LDSMFG_130724,HUMAN,NO_ANSWER,100,2025-01-29,AG_120
LDSMFG_138711,HUMAN,BUSY,89,2025-01-26,AG_101
LDSMFG_153922,HUMAN,ANSWERED,229,2025-01-15,AG_133
LDSMFG_180787,HUMAN,NO_ANSWER,180,2025-01-09,AG_137
LDSMFG_106957,HUMAN,NO_ANSWER,120,2025-01-30,AG_123
LDSMFG_174933,HUMAN,BUSY,185,2025-01-07,AG_116
LDSMFG_107190,HUMAN,NO_ANSWER,162,2025-01-14,AG_127
LDSMFG_186470,HUMAN,NO_ANSWER,129,2025-01-09,AG_115
LDSMFG_183194,HUMAN,ANSWERED,154,2025-01-07,AG_142
LDSMFG_150330,HUMAN,NO_ANSWER,190,2025-01-30,AG_142
LDSMFG_121829,HUMAN,ANSWERED,166,2025-01-23,AG_130
LDSMFG_174193,HUMAN,BUSY,237,2025-01-01,AG_144
LDSMFG_194968,HUMAN,ANSWERED,54,2025-01-23,AG_135
LDSMFG_178153,HUMAN,NO_ANSWER,264,2025-01-28,AG_141
LDSMFG_189367,HUMAN,NO_ANSWER,58,2025-01-17,AG_134
LDSMFG_103576,HUMAN,NO_ANSWER,146,2025-01-09,AG_142
LDSMFG_160266,HUMAN,NO_ANSWER,195,2025-01-08,AG_112
LDSMFG_195273,HUMAN,ANSWERED,74,2025-01-10,AG_125
LDSMFG_160444,HUMAN,NO_ANSWER,222,2025-01-28,AG_122
LDSMFG_111963,HUMAN,ANSWERED,271,2025-01-12,AG_126
LDSMFG_155009,HUMAN,ANSWERED,86,2025-01-05,AG_144
LDSMFG_171995,HUMAN,ANSWERED,45,2025-01-29,AG_100
LDSMFG_139203,HUMAN,NO_ANSWER,119,2025-01-09,AG_109
LDSMFG_131370,HUMAN,NO_ANSWER,182,2025-01-18,AG_133
LDSMFG_191258,HUMAN,NO_ANSWER,31,2025-01-28,AG_135
LDSMFG_159859,HUMAN,ANSWERED,31,2025-01-24,AG_108
LDSMFG_129178,HUMAN,ANSWERED,146,2025-01-07,AG_124
LDSMFG_108340,HUMAN,NO_ANSWER,176,2025-01-29,AG_146
