lead_code,total_due,dpd_bucket,state
LDSMFG_100000,126958,60-90,Karnataka
LDSMFG_100001,151867,30-60,UP
LDSMFG_100002,136932,60-90,Delhi
LDSMFG_100003,370838,30-60,Tamil Nadu
LDSMFG_100004,264178,60-90,Delhi
LDSMFG_100005,124879,30-60,Tamil Nadu
LDSMFG_100006,115268,30-60,Tamil Nadu
LDSMFG_100007,212892,60-90,Delhi
LDSMFG_100008,59886,30-60,Maharashtra
LDSMFG_100009,142337,60-90,Karnataka
LDSMFG_100010,480602,60-90,Delhi
LDSMFG_100011,435410,90-180,Tamil Nadu
LDSMFG_100012,92498,30-60,Delhi
LDSMFG_100013,379871,30-60,Tamil Nadu
LDSMFG_100014,393468,90-180,Tamil Nadu
LDSMFG_100015,180203,30-60,Delhi
LDSMFG_100016,196335,90-180,UP
LDSMFG_100017,283167,30-60,Tamil Nadu
LDSMFG_100018,46090,60-90,Maharashtra
LDSMFG_100019,334365,30-60,Karnataka
LDSMFG_100020,69820,60-90,Karnataka
LDSMFG_100021,267913,90-180,Delhi
LDSMFG_100022,326879,60-90,Tamil Nadu
LDSMFG_100023,199027,60-90,Maharashtra
LDSMFG_100024,332069,30-60,Delhi
LDSMFG_100025,257709,180+,UP
LDSMFG_100026,204041,60-90,Tamil Nadu
LDSMFG_100027,272455,30-60,Tamil Nadu
LDSMFG_100028,108355,30-60,Delhi
LDSMFG_100029,240796,30-60,UP
LDSMFG_100030,219176,30-60,Maharashtra
LDSMFG_100031,189779,180+,Delhi
LDSMFG_100032,352449,30-60,UP
LDSMFG_100033,426909,30-60,Tamil Nadu
LDSMFG_100034,470148,60-90,Tamil Nadu
LDSMFG_100035,263795,60-90,Tamil Nadu
LDSMFG_100036,491232,30-60,UP
LDSMFG_100037,397752,30-60,Tamil Nadu
LDSMFG_100038,161730,30-60,UP
LDSMFG_100039,351622,60-90,Tamil Nadu
LDSMFG_100040,389681,30-60,Karnataka
LDSMFG_100041,154503,180+,Tamil Nadu
LDSMFG_100042,135523,60-90,Delhi
LDSMFG_100043,7747,60-90,UP
LDSMFG_100044,128855,180+,Tamil Nadu
LDSMFG_100045,457366,60-90,Karnataka
LDSMFG_100046,70725,60-90,UP
LDSMFG_100047,134981,30-60,Karnataka
LDSMFG_100048,89654,90-180,UP
LDSMFG_100049,433989,30-60,Karnataka
LDSMFG_100050,386490,60-90,Karnataka
LDSMFG_100051,72435,60-90,Karnataka
LDSMFG_100052,324030,60-90,UP
LDSMFG_100053,333947,90-180,Tamil Nadu
LDSMFG_100054,36551,60-90,UP
LDSMFG_100055,383360,30-60,Delhi
LDSMFG_100056,278538,60-90,Karnataka
LDSMFG_100057,336236,180+,Karnataka
LDSMFG_100058,8890,60-90,UP
LDSMFG_100059,46606,30-60,Tamil Nadu
LDSMFG_100060,494492,180+,Tamil Nadu
LDSMFG_100061,261840,30-60,Delhi
LDSMFG_100062,478254,180+,Tamil Nadu
LDSMFG_100063,354457,30-60,UP
LDSMFG_100064,146699,180+,Maharashtra
LDSMFG_100065,275936,30-60,UP
LDSMFG_100066,244931,90-180,Maharashtra
LDSMFG_100067,244629,90-180,Karnataka
LDSMFG_100068,210041,60-90,UP
LDSMFG_100069,179073,90-180,Maharashtra
LDSMFG_100070,212624,60-90,Karnataka
LDSMFG_100071,422113,30-60,Maharashtra
LDSMFG_100072,73148,30-60,Tamil Nadu
LDSMFG_100073,257801,60-90,Karnataka
LDSMFG_100074,129243,60-90,Karnataka
LDSMFG_100075,256995,30-60,UP
LDSMFG_100076,387318,30-60,Delhi
LDSMFG_100077,159555,60-90,Maharashtra
LDSMFG_100078,391502,90-180,Delhi
LDSMFG_100079,53555,90-180,Tamil Nadu
LDSMFG_100080,261508,30-60,UP
LDSMFG_100081,284303,180+,UP
LDSMFG_100082,377654,180+,Karnataka
LDSMFG_100083,111530,30-60,Tamil Nadu
LDSMFG_100084,85077,60-90,UP
LDSMFG_100085,303064,60-90,UP
LDSMFG_100086,490283,60-90,UP
LDSMFG_100087,465337,60-90,Karnataka
LDSMFG_100088,205551,60-90,Maharashtra
LDSMFG_100089,487691,30-60,Maharashtra
LDSMFG_100090,286601,30-60,Karnataka
LDSMFG_100091,464773,30-60,Delhi
LDSMFG_100092,213261,90-180,Delhi
LDSMFG_100093,245181,30-60,Maharashtra
LDSMFG_100094,346097,90-180,Tamil Nadu
LDSMFG_100095,320139,60-90,Karnataka
LDSMFG_100096,176829,60-90,Tamil Nadu
LDSMFG_100097,276836,90-180,Maharashtra
LDSMFG_100098,443974,30-60,Tamil Nadu
LDSMFG_100099,470625,30-60,Delhi
LDSMFG_100100,207283,180+,Delhi
LDSMFG_100101,201769,60-90,Maharashtra
LDSMFG_100102,42065,30-60,Karnataka
LDSMFG_100103,228165,30-60,Karnataka
LDSMFG_100104,104299,90-180,Delhi
LDSMFG_100105,430822,60-90,UP
LDSMFG_100106,16534,30-60,UP
LDSMFG_100107,492879,90-180,Karnataka
LDSMFG_100108,45397,60-90,Maharashtra
LDSMFG_100109,262750,180+,Maharashtra
LDSMFG_100110,358531,30-60,Karnataka
LDSMFG_100111,268160,60-90,Delhi
LDSMFG_100112,488005,30-60,Maharashtra
LDSMFG_100113,60591,60-90,Karnataka
LDSMFG_100114,225884,30-60,Maharashtra
LDSMFG_100115,28247,30-60,Karnataka
LDSMFG_100116,29300,30-60,Maharashtra
LDSMFG_100117,472281,30-60,Karnataka
LDSMFG_100118,87798,180+,Tamil Nadu
LDSMFG_100119,14268,30-60,Karnataka
LDSMFG_100120,353951,60-90,Delhi
LDSMFG_100121,279329,60-90,Tamil Nadu
LDSMFG_100122,199776,60-90,Karnataka
LDSMFG_100123,222851,90-180,Karnataka
LDSMFG_100124,437315,90-180,Tamil Nadu
LDSMFG_100125,406787,180+,Maharashtra
LDSMFG_100126,241584,90-180,Tamil Nadu
LDSMFG_100127,43044,90-180,Maharashtra
LDSMFG_100128,318358,60-90,Maharashtra
LDSMFG_100129,459444,60-90,Tamil Nadu
LDSMFG_100130,381896,60-90,Delhi
LDSMFG_100131,53984,30-60,Maharashtra
LDSMFG_100132,307918,30-60,Karnataka
LDSMFG_100133,269712,30-60,UP
LDSMFG_100134,125151,30-60,Maharashtra
LDSMFG_100135,460808,60-90,UP
LDSMFG_100136,465779,30-60,Tamil Nadu
LDSMFG_100137,138767,60-90,Maharashtra
LDSMFG_100138,129375,180+,Delhi
LDSMFG_100139,184262,60-90,UP
LDSMFG_100140,141330,30-60,UP
LDSMFG_100141,485754,30-60,UP
LDSMFG_100142,306648,90-180,UP
LDSMFG_100143,169231,180+,UP
LDSMFG_100144,18986,90-180,Karnataka
LDSMFG_100145,66858,30-60,UP
LDSMFG_100146,134312,30-60,UP
LDSMFG_100147,17666,180+,Tamil Nadu
LDSMFG_100148,305804,30-60,Karnataka
LDSMFG_100149,139633,30-60,Karnataka
LDSMFG_100150,293998,30-60,Karnataka
LDSMFG_100151,331649,180+,Delhi
LDSMFG_100152,109488,60-90,UP
LDSMFG_100153,188323,180+,Tamil Nadu
LDSMFG_100154,289806,30-60,Karnataka
LDSMFG_100155,275536,90-180,Tamil Nadu
LDSMFG_100156,35535,30-60,Tamil Nadu
LDSMFG_100157,476819,30-60,Delhi
LDSMFG_100158,380713,60-90,Maharashtra
LDSMFG_100159,319400,60-90,Delhi
LDSMFG_100160,356279,60-90,Maharashtra
LDSMFG_100161,394622,180+,Maharashtra
LDSMFG_100162,302366,30-60,Maharashtra
LDSMFG_100163,82373,30-60,Delhi
LDSMFG_100164,477791,60-90,Delhi
LDSMFG_100165,128684,90-180,Karnataka
LDSMFG_100166,494570,90-180,UP
LDSMFG_100167,482867,60-90,Karnataka
LDSMFG_100168,461551,90-180,Delhi
LDSMFG_100169,278109,30-60,Tamil Nadu
LDSMFG_100170,29538,30-60,Tamil Nadu
LDSMFG_100171,375210,60-90,Karnataka
LDSMFG_100172,206664,90-180,Karnataka
LDSMFG_100173,496234,60-90,Maharashtra
LDSMFG_100174,380396,60-90,Maharashtra
LDSMFG_100175,144182,60-90,Maharashtra
LDSMFG_100176,477525,60-90,Maharashtra
LDSMFG_100177,163338,90-180,Tamil Nadu
LDSMFG_100178,189064,60-90,UP
LDSMFG_100179,219020,30-60,Delhi
LDSMFG_100180,103806,90-180,Maharashtra
LDSMFG_100181,405126,60-90,Karnataka
LDSMFG_100182,378133,90-180,Delhi
LDSMFG_100183,95982,180+,Delhi
LDSMFG_100184,126626,30-60,Delhi
LDSMFG_100185,124176,60-90,Karnataka
LDSMFG_100186,398422,60-90,Maharashtra
LDSMFG_100187,223126,30-60,UP
LDSMFG_100188,223969,90-180,Karnataka
LDSMFG_100189,127409,60-90,Maharashtra
LDSMFG_100190,28419,90-180,UP
LDSMFG_100191,448852,90-180,UP
LDSMFG_100192,258618,30-60,Karnataka
LDSMFG_100193,250310,90-180,UP
LDSMFG_100194,55015,90-180,Tamil Nadu
LDSMFG_100195,253550,90-180,Tamil Nadu
LDSMFG_100196,127096,60-90,Delhi
LDSMFG_100197,112059,60-90,Karnataka
LDSMFG_100198,190340,30-60,Maharashtra
LDSMFG_100199,115687,90-180,UP
LDSMFG_100200,355083,60-90,Karnataka
LDSMFG_100201,416357,60-90,Delhi
LDSMFG_100202,216428,30-60,Delhi
LDSMFG_100203,110878,60-90,Maharashtra
LDSMFG_100204,207982,30-60,Delhi
LDSMFG_100205,454260,180+,Karnataka
LDSMFG_100206,203286,90-180,Delhi
LDSMFG_100207,254002,30-60,Karnataka
LDSMFG_100208,255396,60-90,UP
LDSMFG_100209,169899,60-90,UP
LDSMFG_100210,454036,90-180,UP
LDSMFG_100211,329767,90-180,Tamil Nadu
LDSMFG_100212,479950,180+,Delhi
LDSMFG_100213,342594,30-60,Maharashtra
LDSMFG_100214,360570,30-60,Delhi
LDSMFG_100215,384989,60-90,Maharashtra
LDSMFG_100216,420515,90-180,Tamil Nadu
LDSMFG_100217,48585,30-60,Tamil Nadu
LDSMFG_100218,376369,30-60,Karnataka
LDSMFG_100219,69044,90-180,Tamil Nadu
LDSMFG_100220,440773,90-180,UP
LDSMFG_100221,447296,30-60,Karnataka
LDSMFG_100222,114556,90-180,Delhi
LDSMFG_100223,7693,30-60,Karnataka
LDSMFG_100224,493219,30-60,Tamil Nadu
