lead_code,visit_date,latitude,longitude,result,remarks
LDSMFG_165067,2025-01-08,21.555155386003932,77.61137396515316,MET_CUSTOMER,Visited location
LDSMFG_179028,2025-01-23,19.801360715815854,77.55982972069489,SHIFTED,Visited location
LDSMFG_103580,2025-01-24,18.338005359830916,77.59233176823042,MET_CUSTOMER,Visited location
LDSMFG_114426,2025-01-07,21.86814437253325,77.77500670436027,DOOR_LOCKED,Visited location
LDSMFG_170042,2025-01-13,14.78228103208577,77.53048546719548,DOOR_LOCKED,Visited location
LDSMFG_193959,2025-01-15,19.69352407667715,77.67846940793838,SHIFTED,Visited location
LDSMFG_176649,2025-01-17,14.074516536689346,77.68989208780535,DOOR_LOCKED,Visited location
LDSMFG_137223,2025-01-21,21.575428427529598,77.770331415484,MET_CUSTOMER,Visited location
LDSMFG_191295,2025-01-15,26.725243551004553,77.50148453160362,DOOR_LOCKED,Visited location
LDSMFG_175780,2025-01-26,13.570679204267856,77.73223188045877,SHIFTED,Visited location
LDSMFG_141289,2025-01-10,20.732646909792074,77.75027344454594,MET_CUSTOMER,Visited location
LDSMFG_193622,2025-01-16,24.79448065445105,77.52906687575356,DOOR_LOCKED,Visited location
LDSMFG_159408,2025-01-27,18.199842596536676,77.74619597126917,SHIFTED,Visited location
LDSMFG_150836,2025-01-25,24.8153897604511,77.57394370242169,MET_CUSTOMER,Visited location
LDSMFG_168828,2025-01-12,18.454086324718673,77.75474681304749,SHIFTED,Visited location
LDSMFG_193001,2025-01-16,22.680714536316394,77.7088130035331,DOOR_LOCKED,Visited location
LDSMFG_189748,2025-01-02,23.699067553276855,77.64151078830884,MET_CUSTOMER,Visited location
LDSMFG_177730,2025-01-02,23.098714977616957,77.56439329828072,DOOR_LOCKED,Visited location
LDSMFG_199069,2025-01-11,19.118641028567126,77.58431647853911,SHIFTED,Visited location
LDSMFG_188018,2025-01-18,17.062496969787794,77.64450425323687,DOOR_LOCKED,Visited location
LDSMFG_110447,2025-01-25,18.624598161491356,77.50056219387366,MET_CUSTOMER,Visited location
LDSMFG_143617,2025-01-28,20.08611786652039,77.79416325792104,SHIFTED,Visited location
LDSMFG_141572,2025-01-15,20.498413353545224,77.74775725778635,DOOR_LOCKED,Visited location
LDSMFG_198526,2025-01-26,14.15994139847693,77.54295695921745,DOOR_LOCKED,Visited location
LDSMFG_103836,2025-01-06,18.98720132870369,77.50095080446586,SHIFTED,Visited location
LDSMFG_182002,2025-01-06,27.306374251115308,77.63376003597166,SHIFTED,Visited location
LDSMFG_168616,2025-01-21,23.21463296771563,77.60747802065481,DOOR_LOCKED,Visited location
LDSMFG_158263,2025-01-13,15.432735612091067,77.58428904308572,MET_CUSTOMER,Visited location
LDSMFG_120293,2025-01-25,23.962210202436243,77.74005486403644,SHIFTED,Visited location
LDSMFG_188584,2025-01-04,25.00586369180336,77.7753558232376,MET_CUSTOMER,Visited location
LDSMFG_151806,2025-01-15,26.957016624790104,77.67762436166106,SHIFTED,Visited location
LDSMFG_113632,2025-01-04,26.10500907698527,77.50344893559829,SHIFTED,Visited location
LDSMFG_178067,2025-01-18,28.419450442776963,77.74431224816023,MET_CUSTOMER,Visited location
LDSMFG_133315,2025-01-07,24.78832994313512,77.55905884211253,DOOR_LOCKED,Visited location
LDSMFG_135096,2025-01-07,17.192303688754706,77.67591327528167,MET_CUSTOMER,Visited location
LDSMFG_149029,2025-01-23,18.19396122276627,77.64196226644144,DOOR_LOCKED,Visited location
LDSMFG_151620,2025-01-18,21.091790408303766,77.66584877363138,MET_CUSTOMER,Visited location
LDSMFG_165462,2025-01-01,14.812481165280081,77.64025854772153,DOOR_LOCKED,Visited location
