id,lead_code,suggested_action,TARGET
1,LDSMFG_100000,ACTION_HUMAN_CALL,0.47
2,LDSMFG_100001,ACTION_FIELD,0.35
3,LDSMFG_100002,ACTION_HUMAN_CALL,0.09
4,LDSMFG_100003,ACTION_DIGITAL,0.4
5,LDSMFG_100004,ACTION_HUMAN_CALL,0.49
6,LDSMFG_100005,ACTION_DIGITAL,0.34
7,LDSMFG_100006,ACTION_DIGITAL,0.59
8,LDSMFG_100007,ACTION_HUMAN_CALL,0.83
9,LDSMFG_100008,ACTION_DIGITAL,0.57
10,LDSMFG_100009,ACTION_BOT,0.38
11,LDSMFG_100010,ACTION_HUMAN_CALL,0.27
12,LDSMFG_100011,ACTION_BOT,0.44
13,LDSMFG_100012,ACTION_FIELD,0.37
14,LDSMFG_100013,ACTION_BOT,0.5
15,LDSMFG_100014,ACTION_DIGITAL,0.79
16,LDSMFG_100015,ACTION_HUMAN_CALL,0.33
17,LDSMFG_100016,ACTION_FIELD,0.34
18,LDSMFG_100017,ACTION_HUMAN_CALL,0.53
19,LDSMFG_100018,ACTION_HUMAN_CALL,0.41
20,LDSMFG_100019,ACTION_HUMAN_CALL,0.39
21,LDSMFG_100020,ACTION_BOT,0.44
22,LDSMFG_100021,ACTION_FIELD,0.37
23,LDSMFG_100022,ACTION_DIGITAL,0.26
24,LDSMFG_100023,ACTION_DIGITAL,0.49
25,LDSMFG_100024,ACTION_HUMAN_CALL,0.43
26,LDSMFG_100025,ACTION_DIGITAL,0.66
27,LDSMFG_100026,ACTION_FIELD,0.73
28,LDSMFG_100027,ACTION_BOT,0.18
29,LDSMFG_100028,ACTION_BOT,0.11
30,LDSMFG_100029,ACTION_FIELD,0.79
31,LDSMFG_100030,ACTION_DIGITAL,0.62
32,LDSMFG_100031,ACTION_DIGITAL,0.25
33,LDSMFG_100032,ACTION_FIELD,0.36
34,LDSMFG_100033,ACTION_FIELD,0.43
35,LDSMFG_100034,ACTION_HUMAN_CALL,0.42
36,LDSMFG_100035,ACTION_HUMAN_CALL,0.39
37,LDSMFG_100036,ACTION_HUMAN_CALL,0.58
38,LDSMFG_100037,ACTION_DIGITAL,0.78
39,LDSMFG_100038,ACTION_HUMAN_CALL,0.86
40,LDSMFG_100039,ACTION_FIELD,0.74
41,LDSMFG_100040,ACTION_DIGITAL,0.36
42,LDSMFG_100041,ACTION_DIGITAL,0.47
43,LDSMFG_100042,ACTION_HUMAN_CALL,0.46
44,LDSMFG_100043,ACTION_FIELD,0.46
45,LDSMFG_100044,ACTION_BOT,0.45
46,LDSMFG_100045,ACTION_BOT,0.53
47,LDSMFG_100046,ACTION_HUMAN_CALL,0.13
48,LDSMFG_100047,ACTION_DIGITAL,0.27
49,LDSMFG_100048,ACTION_HUMAN_CALL,0.69
50,LDSMFG_100049,ACTION_FIELD,0.6
51,LDSMFG_100050,ACTION_HUMAN_CALL,0.17
52,LDSMFG_100051,ACTION_DIGITAL,0.67
53,LDSMFG_100052,ACTION_FIELD,0.39
54,LDSMFG_100053,ACTION_DIGITAL,0.44
55,LDSMFG_100054,ACTION_DIGITAL,0.48
56,LDSMFG_100055,ACTION_HUMAN_CALL,0.72
57,LDSMFG_100056,ACTION_FIELD,0.39
58,LDSMFG_100057,ACTION_BOT,0.44
59,LDSMFG_100058,ACTION_FIELD,0.44
60,LDSMFG_100059,ACTION_DIGITAL,0.4
61,LDSMFG_100060,ACTION_DIGITAL,0.94
62,LDSMFG_100061,ACTION_HUMAN_CALL,0.35
63,LDSMFG_100062,ACTION_DIGITAL,0.6
64,LDSMFG_100063,ACTION_HUMAN_CALL,0.09
65,LDSMFG_100064,ACTION_HUMAN_CALL,0.54
66,LDSMFG_100065,ACTION_HUMAN_CALL,0.22
67,LDSMFG_100066,ACTION_DIGITAL,0.73
68,LDSMFG_100067,ACTION_HUMAN_CALL,0.53
69,LDSMFG_100068,ACTION_DIGITAL,0.61
70,LDSMFG_100069,ACTION_BOT,0.13
71,LDSMFG_100070,ACTION_DIGITAL,0.11
72,LDSMFG_100071,ACTION_BOT,0.47
73,LDSMFG_100072,ACTION_BOT,0.33
74,LDSMFG_100073,ACTION_HUMAN_CALL,0.3
75,LDSMFG_100074,ACTION_HUMAN_CALL,0.41
76,LDSMFG_100075,ACTION_HUMAN_CALL,0.45
77,LDSMFG_100076,ACTION_DIGITAL,0.73
78,LDSMFG_100077,ACTION_BOT,0.18
79,LDSMFG_100078,ACTION_FIELD,0.48
80,LDSMFG_100079,ACTION_FIELD,0.35
81,LDSMFG_100080,ACTION_BOT,0.39
82,LDSMFG_100081,ACTION_FIELD,0.74
83,LDSMFG_100082,ACTION_FIELD,0.4
84,LDSMFG_100083,ACTION_DIGITAL,0.26
85,LDSMFG_100084,ACTION_FIELD,0.36
86,LDSMFG_100085,ACTION_BOT,0.54
87,LDSMFG_100086,ACTION_BOT,0.16
88,LDSMFG_100087,ACTION_FIELD,0.39
89,LDSMFG_100088,ACTION_DIGITAL,0.44
90,LDSMFG_100089,ACTION_BOT,0.22
91,LDSMFG_100090,ACTION_HUMAN_CALL,0.22
92,LDSMFG_100091,ACTION_DIGITAL,0.34
93,LDSMFG_100092,ACTION_HUMAN_CALL,0.14
94,LDSMFG_100093,ACTION_FIELD,0.45
95,LDSMFG_100094,ACTION_DIGITAL,0.25
96,LDSMFG_100095,ACTION_BOT,0.8
97,LDSMFG_100096,ACTION_FIELD,0.74
98,LDSMFG_100097,ACTION_BOT,0.37
99,LDSMFG_100098,ACTION_BOT,0.16
100,LDSMFG_100099,ACTION_FIELD,0.43
101,LDSMFG_100100,ACTION_FIELD,0.43
102,LDSMFG_100101,ACTION_FIELD,0.31
103,LDSMFG_100102,ACTION_FIELD,0.36
104,LDSMFG_100103,ACTION_DIGITAL,0.65
105,LDSMFG_100104,ACTION_FIELD,0.55
106,LDSMFG_100105,ACTION_DIGITAL,0.41
107,LDSMFG_100106,ACTION_FIELD,0.4
108,LDSMFG_100107,ACTION_BOT,0.32
109,LDSMFG_100108,ACTION_BOT,0.47
110,LDSMFG_100109,ACTION_FIELD,0.48
111,LDSMFG_100110,ACTION_DIGITAL,0.8
112,LDSMFG_100111,ACTION_FIELD,0.33
113,LDSMFG_100112,ACTION_FIELD,0.39
114,LDSMFG_100113,ACTION_FIELD,0.7
115,LDSMFG_100114,ACTION_DIGITAL,0.12
116,LDSMFG_100115,ACTION_DIGITAL,0.36
117,LDSMFG_100116,ACTION_HUMAN_CALL,0.44
118,LDSMFG_100117,ACTION_FIELD,0.74
119,LDSMFG_100118,ACTION_BOT,0.35
120,LDSMFG_100119,ACTION_DIGITAL,0.79
121,LDSMFG_100120,ACTION_BOT,0.55
122,LDSMFG_100121,ACTION_HUMAN_CALL,0.38
123,LDSMFG_100122,ACTION_DIGITAL,0.56
124,LDSMFG_100123,ACTION_DIGITAL,0.32
125,LDSMFG_100124,ACTION_HUMAN_CALL,0.23
126,LDSMFG_100125,ACTION_HUMAN_CALL,0.83
127,LDSMFG_100126,ACTION_DIGITAL,0.3
128,LDSMFG_100127,ACTION_HUMAN_CALL,0.44
129,LDSMFG_100128,ACTION_BOT,0.68
130,LDSMFG_100129,ACTION_BOT,0.12
131,LDSMFG_100130,ACTION_DIGITAL,0.55
132,LDSMFG_100131,ACTION_FIELD,0.36
133,LDSMFG_100132,ACTION_BOT,0.4
134,LDSMFG_100133,ACTION_FIELD,0.39
135,LDSMFG_100134,ACTION_BOT,0.06
136,LDSMFG_100135,ACTION_FIELD,0.44
137,LDSMFG_100136,ACTION_HUMAN_CALL,0.65
138,LDSMFG_100137,ACTION_FIELD,0.36
139,LDSMFG_100138,ACTION_HUMAN_CALL,0.21
140,LDSMFG_100139,ACTION_HUMAN_CALL,0.07
141,LDSMFG_100140,ACTION_FIELD,0.31
142,LDSMFG_100141,ACTION_BOT,0.3
143,LDSMFG_100142,ACTION_FIELD,0.42
144,LDSMFG_100143,ACTION_FIELD,0.51
145,LDSMFG_100144,ACTION_BOT,0.71
146,LDSMFG_100145,ACTION_FIELD,0.42
147,LDSMFG_100146,ACTION_FIELD,0.4
148,LDSMFG_100147,ACTION_HUMAN_CALL,0.64
149,LDSMFG_100148,ACTION_HUMAN_CALL,0.19
150,LDSMFG_100149,ACTION_DIGITAL,0.74
151,LDSMFG_100150,ACTION_DIGITAL,0.8
152,LDSMFG_100151,ACTION_FIELD,0.46
153,LDSMFG_100152,ACTION_BOT,0.1
154,LDSMFG_100153,ACTION_BOT,0.43
155,LDSMFG_100154,ACTION_BOT,0.04
156,LDSMFG_100155,ACTION_BOT,0.69
157,LDSMFG_100156,ACTION_FIELD,0.77
158,LDSMFG_100157,ACTION_BOT,0.58
159,LDSMFG_100158,ACTION_BOT,0.7
160,LDSMFG_100159,ACTION_FIELD,0.39
161,LDSMFG_100160,ACTION_HUMAN_CALL,0.46
162,LDSMFG_100161,ACTION_HUMAN_CALL,0.36
163,LDSMFG_100162,ACTION_HUMAN_CALL,0.19
164,LDSMFG_100163,ACTION_FIELD,0.48
165,LDSMFG_100164,ACTION_HUMAN_CALL,0.39
166,LDSMFG_100165,ACTION_DIGITAL,0.34
167,LDSMFG_100166,ACTION_FIELD,0.35
168,LDSMFG_100167,ACTION_BOT,0.69
169,LDSMFG_100168,ACTION_FIELD,0.44
170,LDSMFG_100169,ACTION_FIELD,0.37
171,LDSMFG_100170,ACTION_DIGITAL,0.74
172,LDSMFG_100171,ACTION_BOT,0.8
173,LDSMFG_100172,ACTION_HUMAN_CALL,0.34
174,LDSMFG_100173,ACTION_FIELD,0.32
175,LDSMFG_100174,ACTION_DIGITAL,0.72
176,LDSMFG_100175,ACTION_HUMAN_CALL,0.42
177,LDSMFG_100176,ACTION_FIELD,0.76
178,LDSMFG_100177,ACTION_DIGITAL,0.52
179,LDSMFG_100178,ACTION_HUMAN_CALL,0.61
180,LDSMFG_100179,ACTION_DIGITAL,0.4
181,LDSMFG_100180,ACTION_FIELD,0.39
182,LDSMFG_100181,ACTION_FIELD,0.37
183,LDSMFG_100182,ACTION_BOT,0.13
184,LDSMFG_100183,ACTION_BOT,0.46
185,LDSMFG_100184,ACTION_BOT,0.0
186,LDSMFG_100185,ACTION_BOT,0.64
187,LDSMFG_100186,ACTION_BOT,0.34
188,LDSMFG_100187,ACTION_DIGITAL,0.74
189,LDSMFG_100188,ACTION_DIGITAL,0.21
190,LDSMFG_100189,ACTION_HUMAN_CALL,0.83
191,LDSMFG_100190,ACTION_HUMAN_CALL,0.46
192,LDSMFG_100191,ACTION_HUMAN_CALL,0.85
193,LDSMFG_100192,ACTION_FIELD,0.65
194,LDSMFG_100193,ACTION_DIGITAL,0.07
195,LDSMFG_100194,ACTION_BOT,0.35
196,LDSMFG_100195,ACTION_BOT,0.07
197,LDSMFG_100196,ACTION_FIELD,0.34
198,LDSMFG_100197,ACTION_BOT,0.11
199,LDSMFG_100198,ACTION_BOT,0.26
200,LDSMFG_100199,ACTION_HUMAN_CALL,0.62
201,LDSMFG_100200,ACTION_HUMAN_CALL,0.43
202,LDSMFG_100201,ACTION_HUMAN_CALL,0.6
203,LDSMFG_100202,ACTION_BOT,0.48
204,LDSMFG_100203,ACTION_HUMAN_CALL,0.57
205,LDSMFG_100204,ACTION_FIELD,0.4
206,LDSMFG_100205,ACTION_FIELD,0.41
207,LDSMFG_100206,ACTION_DIGITAL,0.6
208,LDSMFG_100207,ACTION_FIELD,0.33
209,LDSMFG_100208,ACTION_DIGITAL,0.35
210,LDSMFG_100209,ACTION_DIGITAL,0.56
211,LDSMFG_100210,ACTION_HUMAN_CALL,0.46
212,LDSMFG_100211,ACTION_BOT,0.45
213,LDSMFG_100212,ACTION_BOT,0.49
214,LDSMFG_100213,ACTION_BOT,0.35
215,LDSMFG_100214,ACTION_DIGITAL,0.58
216,LDSMFG_100215,ACTION_BOT,0.79
217,LDSMFG_100216,ACTION_DIGITAL,0.92
218,LDSMFG_100217,ACTION_DIGITAL,0.27
219,LDSMFG_100218,ACTION_HUMAN_CALL,0.45
220,LDSMFG_100219,ACTION_FIELD,0.39
221,LDSMFG_100220,ACTION_DIGITAL,0.34
222,LDSMFG_100221,ACTION_BOT,0.62
223,LDSMFG_100222,ACTION_FIELD,0.75
224,LDSMFG_100223,ACTION_HUMAN_CALL,0.31
225,LDSMFG_100224,ACTION_DIGITAL,0.8
226,LDSMFG_100225,ACTION_BOT,0.44
227,LDSMFG_100226,ACTION_BOT,0.28
228,LDSMFG_100227,ACTION_HUMAN_CALL,0.66
229,LDSMFG_100228,ACTION_HUMAN_CALL,0.45
230,LDSMFG_100229,ACTION_HUMAN_CALL,0.77
231,LDSMFG_100230,ACTION_FIELD,0.34
232,LDSMFG_100231,ACTION_BOT,0.6
233,LDSMFG_100232,ACTION_FIELD,0.4
234,LDSMFG_100233,ACTION_HUMAN_CALL,0.43
235,LDSMFG_100234,ACTION_BOT,0.35
236,LDSMFG_100235,ACTION_DIGITAL,0.53
237,LDSMFG_100236,ACTION_FIELD,0.36
238,LDSMFG_100237,ACTION_DIGITAL,0.48
239,LDSMFG_100238,ACTION_BOT,0.52
240,LDSMFG_100239,ACTION_DIGITAL,0.81
241,LDSMFG_100240,ACTION_DIGITAL,0.59
242,LDSMFG_100241,ACTION_FIELD,0.66
243,LDSMFG_100242,ACTION_DIGITAL,0.56
244,LDSMFG_100243,ACTION_DIGITAL,0.38
245,LDSMFG_100244,ACTION_HUMAN_CALL,0.66
246,LDSMFG_100245,ACTION_HUMAN_CALL,0.4
247,LDSMFG_100246,ACTION_FIELD,0.35
248,LDSMFG_100247,ACTION_BOT,0.55
249,LDSMFG_100248,ACTION_DIGITAL,0.72
250,LDSMFG_100249,ACTION_DIGITAL,0.86
251,LDSMFG_100250,ACTION_DIGITAL,0.57
252,LDSMFG_100251,ACTION_DIGITAL,0.11
253,LDSMFG_100252,ACTION_HUMAN_CALL,0.22
254,LDSMFG_100253,ACTION_FIELD,0.42
255,LDSMFG_100254,ACTION_HUMAN_CALL,0.61
256,LDSMFG_100255,ACTION_FIELD,0.38
257,LDSMFG_100256,ACTION_DIGITAL,0.23
