lead_code,sent_at,status,response_message,read_at
LDSMFG_124034,2025-01-10,DELIVERED,,
LDSMFG_143014,2025-01-01,DELIVERED,,
LDSMFG_192539,2025-01-20,READ,,2025-01-20 11:00:00
LDSMFG_141327,2025-01-08,READ,,2025-01-08 12:00:00
LDSMFG_163053,2025-01-25,READ,,2025-01-25 10:00:00
LDSMFG_185526,2025-01-12,READ,,2025-01-12 01:00:00
LDSMFG_127496,2025-01-22,DELIVERED,,
LDSMFG_149452,2025-01-13,READ,,2025-01-13 13:00:00
LDSMFG_120596,2025-01-11,READ,,2025-01-11 15:00:00
LDSMFG_129568,2025-01-17,DELIVERED,,
LDSMFG_146296,2025-01-04,READ,,2025-01-04 05:00:00
LDSMFG_126456,2025-01-23,DELIVERED,,
LDSMFG_130790,2025-01-28,READ,,2025-01-28 12:00:00
LDSMFG_124543,2025-01-21,READ,,2025-01-21 12:00:00
LDSMFG_179338,2025-01-12,READ,,2025-01-12 18:00:00
LDSMFG_131742,2025-01-21,DELIVERED,,
LDSMFG_115002,2025-01-01,READ,,2025-01-01 08:00:00
LDSMFG_137589,2025-01-12,READ,,2025-01-12 08:00:00
LDSMFG_177514,2025-01-20,DELIVERED,,
LDSMFG_184400,2025-01-27,DELIVERED,Wrong number,
LDSMFG_144061,2025-01-25,FAILED,,
LDSMFG_106362,2025-01-21,DELIVERED,,
LDSMFG_118253,2025-01-21,READ,,2025-01-21 18:00:00
LDSMFG_183033,2025-01-29,READ,Wrong number,2025-01-29 06:00:00
LDSMFG_119391,2025-01-10,READ,,2025-01-10 08:00:00
LDSMFG_126912,2025-01-12,DELIVERED,,
LDSMFG_134391,2025-01-17,READ,,2025-01-17 14:00:00
LDSMFG_152446,2025-01-29,READ,Pay link?,2025-01-29 03:00:00
LDSMFG_181812,2025-01-17,DELIVERED,,
LDSMFG_187147,2025-01-10,DELIVERED,,
LDSMFG_134820,2025-01-15,DELIVERED,,
LDSMFG_143081,2025-01-04,DELIVERED,,
LDSMFG_116089,2025-01-18,FAILED,,
LDSMFG_167565,2025-01-17,READ,,2025-01-17 21:00:00
LDSMFG_186592,2025-01-01,READ,,2025-01-01 10:00:00
LDSMFG_136821,2025-01-08,READ,Pay link?,2025-01-08 14:00:00
LDSMFG_157095,2025-01-25,READ,,2025-01-25 22:00:00
